last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome,date
2020-01-03 11:09:45,Q,AAPL,298.42,2.0,298.43,2.0,-1.0,0.0,2020-01-03 11:09:46.145771,298.36,298.38,-1,2020-01-03
2020-01-03 11:09:50,N,AAPL,298.36,4.0,298.38,4.0,0.0,3.0,2020-01-03 11:09:50.056659,298.34,298.36,0,2020-01-03
2020-01-03 11:09:55,Z,AAPL,298.34,1.0,298.36,1.0,0.0,0.0,2020-01-03 11:09:55.158363,298.31,298.34,0,2020-01-03
2020-01-03 11:10:00,Z,AAPL,298.31,2.0,298.34,2.0,0.0,1.0,2020-01-03 11:10:00.096459,298.28,298.29,-1,2020-01-03
2020-01-03 11:10:05,Z,AAPL,298.28,10.0,298.29,1.0,1.0,0.0,2020-01-03 11:10:05.227542,298.25,298.28,0,2020-01-03
2020-01-03 11:10:10,N,AAPL,298.25,1.0,298.28,1.0,0.0,-1.0,2020-01-03 11:10:10.063684,298.22,298.24,-1,2020-01-03
2020-01-03 11:10:15,Z,AAPL,298.22,6.0,298.24,2.0,0.0,1.0,2020-01-03 11:10:15.009666,298.12,298.16,-1,2020-01-03
2020-01-03 11:10:20,Z,AAPL,298.12,9.0,298.16,4.0,8.0,1.0,2020-01-03 11:10:20.371895,298.11,298.13,0,2020-01-03
2020-01-03 11:10:25,Z,AAPL,298.11,3.0,298.13,2.0,0.0,1.0,2020-01-03 11:10:25.198318,298.11,298.14,0,2020-01-03
2020-01-03 11:10:30,N,AAPL,298.11,3.0,298.14,3.0,1.0,0.0,2020-01-03 11:10:30.092096,298.11,298.13,0,2020-01-03
2020-01-03 11:10:35,N,AAPL,298.11,4.0,298.13,1.0,2.0,0.0,2020-01-03 11:10:35.012548,298.06,298.09,-1,2020-01-03
2020-01-03 11:10:40,Z,AAPL,298.06,2.0,298.09,2.0,0.0,0.0,2020-01-03 11:10:40.045239,298.01,298.03,-1,2020-01-03
2020-01-03 11:10:45,Q,AAPL,298.01,3.0,298.03,1.0,0.0,0.0,2020-01-03 11:10:45.017640,298.0,298.04,0,2020-01-03
2020-01-03 11:10:50,K,AAPL,298.0,2.0,298.04,3.0,0.0,0.0,2020-01-03 11:10:50.000232,298.02,298.06,0,2020-01-03
2020-01-03 11:10:55,Q,AAPL,298.02,1.0,298.06,16.0,0.0,15.0,2020-01-03 11:10:55.224785,298.01,298.04,0,2020-01-03
2020-01-03 11:11:00,Z,AAPL,298.01,3.0,298.04,20.0,1.0,0.0,2020-01-03 11:11:00.030638,298.02,298.03,0,2020-01-03
2020-01-03 11:11:05,Z,AAPL,298.02,1.0,298.03,1.0,0.0,-2.0,2020-01-03 11:11:05.263956,298.04,298.07,1,2020-01-03
